text,offensive_label,processed_text,feminism_label
@user Bono... who cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen.,0,@user bono who care soon people will understand that they gain nothing from follow a phony celebrity become a leader of your people instead or help and support your fellow countryman,0
@user Eight years the republicans denied obamaâ€™s picks. Breitbarters outrage is as phony as their fake president.,1,@user eight year the republican deny obama â€™ s pick breitbarters outrage be as phony a their fake president,0
@user Get him some line help. He is gonna be just fine. As the game went on you could see him progressing more with his reads. He brought what has been missing. The deep ball presence. Now he just needs a little more time,0,@user get him some line help he be gonna be just fine a the game go on you could see him progress more with his read he bring what have be miss the deep ball presence now he just need a little more time,0
@user @user She is great. Hi Fiona!,0,@user @user she be great hi fiona,0
@user She has become a parody unto herself? She has certainly taken some heat for being such an....well idiot. Could be optic too  Who know with Liberals  They're all optics.  No substance,1,@user she have become a parody unto herself she have certainly take some heat for be such an well idiot could be optic too who know with liberal they're all optic no substance,0
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user This is the VetsResistSquadron"""" is Bullshit.. They are girl scout veterans, I have never met any other veterans or served with anyone that was a gun control advocate? Have you?""""",0,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user this be the vetsresistsquadron be bullshit they be girl scout veteran i have never meet any other veteran or serve with anyone that be a gun control advocate have you,0
@user Your looking more like a plant #maga #walkaway,1,@user your look more like a plant #maga #walkaway,0
@user @user Lol. Except heâ€™s the most successful president in our lifetimes. Heâ€™s undone most of the damage Obummer did and set America on the right path again. #MAGA,0,@user @user lol except he â€™ s the most successful president in our lifetime he â€™ s undone most of the damage obummer do and set america on the right path again #maga,0
@user Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics?,0,@user be a willie fan since before most of you be bear love that he be hold a rally with beto exactly which fan be furious could you give some specific,0
@user Here's a link to my channel with a plethora of topics to peruse:,0,@user here's a link to my channel with a plethora of topic to peruse,0
@user Antifa would burn a Conservatives house down and CNN would be there lighting the torches &amp,1,@user antifa would burn a conservative house down and cnn would be there light the torch throw gas on the flame,0
"@user They cite Jones being banned for violating Twitter's ToS. There are blue checkmarks spewing the same, if not worse, kind of shit. If you are going to play the anyone can get banned"""" card. Shouldn't these people also receive bans and suspensions? #VerifiedHate""""",1,@user they cite jones be ban for violate twitter's tos there be blue checkmarks spew the same if not bad kind of shit if you be go to play the anyone can get ban card shouldn't these people also receive ban and suspension #verifiedhate,0
@user Friend ordered 100 pair of Leviâ€™s and then called to cancel! Over Gun control! Wow getting wild!,0,@user friend order pair of levi â€™ s and then call to cancel over gun control wow get wild,0
@user @user Lmfaoooooo,0,@user @user lmfaooo,0
@user Goodell should have been fired over a year ago. Looks like the owners will let him steer the ship right into the iceberg. Oh well.,0,@user goodell should have be fire over a year ago look like the owner will let him steer the ship right into the iceberg oh well,0
@user @user This is a common message from liberals and Democrats.   Remember Nancy Pelosi we have to approve the health care package -Obama care and then weâ€™ll see whatâ€™s in it afterwardsðŸ¤”,0,@user @user this be a common message from liberal and democrat remember nancy pelosi we have to approve the health care package obama care and then we â€™ ll see what â€™ s in it afterwards ðŸ¤”,0
@user also shitbiscuit stole most of the Tempe girls u can't blame that on me..,1,@user also shitbiscuit stole most of the tempe girl u can't blame that on me,0
"@user @user Well, see, if I start talking at Dana about sensible gun control laws and she ignores me (or calls me a tragedy dry-humping whore"""" as she did @user then we aren't having a conversation. I'm just talking into the void.""""",1,@user @user well see if i start talk at dana about sensible gun control law and she ignore me or call me a tragedy dry-humping whore a she do @user then we aren't have a conversation i'm just talk into the void,1
@user @user You mean the way Hillary re-victimized all of Bills accusers?,0,@user @user you mean the way hillary re-victimized all of bill accuser,2
GREAT COMEDY THERE CNN - NEWS?  NOT SO MUCH!  #MAGA!  #LICENSEREPORTERS!,0,great comedy there cnn news not so much #maga #licensereporters,0
@user You are so fragile. It must be hard to live that way.,0,@user you be so fragile it must be hard to live that way,0
@user All you do is lie. All congress does us lie.  MAGA.,1,@user all you do be lie all congress do u lie maga,0
@user Freudian slip.,0,@user freudian slip,0
@user @user Why are you wasting time replying on twitter (trolling) on behalf of people making under that amount?  Seems like someone is just a propaganda pusher...or likes gloating to other #MAGA's that they got screwed by Trump.,1,@user @user why be you wasting time reply on twitter troll on behalf of people make under that amount seem like someone be just a propaganda pusher or like gloat to other #maga's that they get screw by trump,0
@user We had Leveon Bell. Thats the dumbest argument. But we can compare college for when he played. His best season was 1700 yds 26 TDs. How about Collins? And this is Conners first year starting and he is starting much better than Collins,1,@user we have leveon bell thats the dumb argument but we can compare college for when he play his best season be yds tds how about collins and this be conners first year starting and he be start much good than collins,0
@user @user SHE IS A FUCKING MESS!! I HATE HER SO MUCH,1,@user @user she be a fucking mess i hate her so much,0
@user He is so underrated and I love how pure he is as a person,0,@user he be so underrated and i love how pure he be a a person,0
@user Haha we set then ðŸ˜‚,0,@user haha we set then ðŸ˜‚,0
@user he is a psychic ainâ€™t he,0,@user he be a psychic ain â€™ t he,0
I take it personally when people call my dog a he. Toni is a girls name too #SemST,0,i take it personally when people call my dog a he toni be a girls name too #semst,2
"Everfetching: i wanna chat with a feminist, or a feminazi at the the moment. just to hear sides ya know?  #feminist #feminazi #SemST",1,everfetching i wanna chat with a feminist or a feminazi at the the moment just to hear side ya know #feminist #feminazi #semst,0
.@feminismvibes Men don't admit to being raped as readily as women do. So your question is feminist bullshit. #SemST,1,@feminismvibes men don't admit to be rap as readily a woman do so your question be feminist bullshit #semst,1
U.S. putting a women on $10 bill instead of $20... anyone else think it's a BS compromise? #TheNew10 #WomenOn20s #Feminist #SemST,0,u s put a woman on bill instead of anyone else think it's a bs compromise #thenew10 #womenon20s #feminist #semst,1
"With Hillary's lead over Sanders narrowing, how long before Bernie is accused of misogyny?  #tcot #SemST",0,with hillary's lead over sander narrow how long before bernie be accuse of misogyny #tcot #semst,1
"wanted to pursue a career rather than settle down and start a family in my 20's. Even now, people still tell me time is ticking & #SemST",0,want to pursue a career rather than settle down and start a family in my s even now people still tell me time be tick #semst,2
@user it's not always the guys job. #equality #SemST,0,@user it's not always the guy job #equality #semst,2
".@brigadam @user Abortion is NOT suffering to women - why do you think it is? Do you hate abortion, feminist? #SemST",0,@brigadam @user abortion be not suffer to woman why do you think it be do you hate abortion feminist #semst,1
I'm going to walk you thru this @user because I get feminists have NO idea what they are saying...  @user #SemST,1,i'm go to walk you thru this @user because i get feminist have no idea what they be say @user #semst,1
The times in between my whiskey are my periods. #SemST,0,the time in between my whiskey be my period #semst,1
"@user It's not a conscious choice that's made. Betas make women feel unsafe, unprotected, right? #SpankAFeminist #SemST",1,@user it's not a conscious choice that's make beta make woman feel unsafe unprotected right #spankafeminist #semst,1
"Contempo Qiwaamah:longer paid maternity leave,flexi working hours,on-site childcare,breastfeeding/breastpumping rooms,equal pay #SemST",0,contempo qiwaamah longer pay maternity leave flexi working hour on-site childcare breastfeed breastpumping room equal pay #semst,2
@user I don't need feminism because I am pretty #SemST,0,@user i don't need feminism because i be pretty #semst,1
@user i hate to break it to u bruh but women do get pretty for us. They get pretty to show other women #feminist #SemST,0,@user i hate to break it to u bruh but woman do get pretty for u they get pretty to show other woman #feminist #semst,2
"When real life gets controversial, scroll social media faster. #BaltimoreRiots #NepalEarthquake #kyliejennerchallenge #SemST",0,when real life get controversial scroll social medium faster #baltimoreriots #nepalearthquake #kyliejennerchallenge #semst,0
I need feminism because I can't walk three blocks without getting cat called and a man asking me to get in his car . #SemST,0,i need feminism because i can't walk three block without get cat call and a man ask me to get in his car #semst,2
@user @user you're incredibly bigoted. From rape to homosexuality.  #mensrights #SemST,1,@user @user you're incredibly bigoted from rape to homosexuality #mensrights #semst,1
Girls over 130 shouldn't wear a swim suit #womenintech #SemST,1,girl over shouldn't wear a swim suit #womenintech #semst,1
"the Left 10 years ago ""Keep government out of our bedrooms"" Today: ""you must verbally consent to every step"" ""no drunk sex #SemST",0,the left year ago keep government out of our bedroom today you must verbally consent to every step no drunk sex #semst,1
"If the Olympics were 100% feminist, the men's division would be erradicated for ""equality""  #GamerGate #SemST",0,if the olympics be feminist the men's division would be erradicated for equality #gamergate #semst,1
links in sauga gotta stop chincing girls and taking away that extra bit #iknowyoudoit  #equality #SemST,0,link in sauga gotta stop chincing girl and take away that extra bit #iknowyoudoit #equality #semst,2
When did people without taste buds decide to ban tasty food?  Welcome to Sex-Negative Feminism   #GamerGate #SemST,0,when do people without taste bud decide to ban tasty food welcome to sex-negative feminism #gamergate #semst,1
Someone should do a #Meminist Frequency video response highlighting the violence against men portrayed in video games. #SemST,0,someone should do a #meminist frequency video response highlight the violence against men portray in video game #semst,1
Did you know? Gender stereotypes as we know then developed with beginning of the 18. century. #gender #SemST,0,do you know gender stereotype a we know then develop with beginning of the century #gender #semst,2
"@user C) the hell was that video? D) the guy spelled ""break"" wrong. E) if Megalodon is alive maybe it's a she Brewer #SemST",0,@user c the hell be that video d the guy spell break wrong e if megalodon be alive maybe it's a she brewer #semst,0
@user .@Rod_McCallum you are a dinosaur and a fool.  Not rising to your antiquated rhetoric.  Bye #SemST,1,@user @rod_mccallum you be a dinosaur and a fool not rise to your antiquated rhetoric bye #semst,2
"Can't win for trying on @user Either ""trying too hard for help"" or ""only winning because of the guys."" Seriously, F off. #SemST",1,can't win for try on @user either try too hard for help or only win because of the guy seriously f off #semst,0
The length of time I take in the bath directly relates to what's happening on Twitter #MondayMotivation  #Worlds2015 #SemST,0,the length of time i take in the bath directly relate to what's happen on twitter #mondaymotivation #worlds2015 #semst,0
Communists can relate to how we feel. #communist #faith #karlmarx #SemST,0,communist can relate to how we feel #communist #faith #karlmarx #semst,0
@user I'm never bored. Ppl who easily get bored - like you profess to be - are generally boring. It's a weak wimp-out. #SemST,1,@user i'm never bore ppl who easily get bore like you profess to be be generally boring it's a weak wimp-out #semst,0
